10;31;16;0.516129
11;46;32;0.6956522
12;77;48;0.6233766
13;108;63;0.5833333
14;140;78;0.55714285
15;187;109;0.5828877
16;234;125;0.53418803
17;296;141;0.47635135
18;358;172;0.48044693
19;405;203;0.5012346
20;483;234;0.48447204
21;561;281;0.50089127
22;640;328;0.5125
23;734;375;0.5108992
24;830;438;0.52771086
25;939;485;0.5165069
26;1063;548;0.5155221
27;1188;610;0.513468
28;1328;688;0.5180723
29;1470;766;0.5210884
30;1626;844;0.5190652
31;1797;922;0.5130774
32;1985;1015;0.511335
33;2172;1109;0.5105893
34;2370;1218;0.51392406
35;2573;1327;0.5157404
36;2807;1437;0.51193446
37;3041;1561;0.513318
38;3292;1686;0.51215065
39;3557;1826;0.51335394
40;3838;1967;0.5125065
41;4122;2123;0.51504123
42;4418;2279;0.5158443
43;4746;2435;0.5130636
44;5074;2607;0.5137958
45;5433;2778;0.5113197
46;5795;2965;0.511648
47;6185;3152;0.5096201
48;6576;3355;0.5101886
49;6997;3558;0.5085036
50;7437;3776;0.5077316
51;7890;3994;0.5062104
52;8361;4228;0.50568116
53;8845;4478;0.50627476
54;9345;4727;0.505832
55;9876;4992;0.5054678
56;10407;5273;0.5066782
57;10969;5554;0.50633603
58;11547;5850;0.5066251
59;12140;6162;0.50757825
60;12752;6476;0.5078419
61;13394;6804;0.50798863
62;14050;7147;0.50868326
63;14737;7490;0.5082446
64;15427;7849;0.5087833
65;16161;8208;0.5078894
66;16910;8598;0.5084565
67;17676;8984;0.5082598
68;18474;9390;0.5082819
69;19286;9813;0.5088147
70;20115;10250;0.50956994
71;20976;10689;0.5095824
72;21882;11152;0.5096426
73;22819;11633;0.5097945
74;23900;12136;0.5077824
75;24966;12620;0.50548744
76;25965;13105;0.5047179
77;27014;13720;0.5078848
78;28410;14616;0.51446676
79;29741;15393;0.51756835
80;31070;16680;0.53685224
81;32950;17492;0.53086495
82;34589;18356;0.53068894
83;36234;18965;0.5234034
84;37853;19599;0.5177661
85;39617;20514;0.517808
86;41200;21708;0.5268932
87;42721;22382;0.52391094
88;44093;23071;0.52323496
89;45618;23777;0.5212197
90;47462;24516;0.5165396
91;49172;25603;0.5206825
92;50947;26745;0.5249573
93;52584;27563;0.5241709
94;54163;28313;0.5227369
95;55767;29179;0.5232306
96;57360;29975;0.5225767
97;58974;30801;0.522281
98;60654;31620;0.52131766
99;62383;32434;0.5199173
100;64120;33292;0.519214

