N SIZE,SUM,FILL IN,MAX
1535,16282,1551,94992
1540,16384,1556,95541
1545,16487,1563,96079
1550,16592,1568,96637
1555,16694,1588,97239
1560,16802,1602,97832
1565,16907,1603,98430
1570,17014,1593,98981
1575,17117,1593,99565
1580,17221,1598,100124
1585,17325,1604,100714
1590,17431,1608,101279
1595,17534,1614,101853
1600,17642,1619,102448
1605,17749,1622,103034
1610,17857,1627,103601
1615,17968,1635,104220
1620,18082,1637,104823
1625,18194,1644,105402
1630,18302,1647,105994
1635,18411,1652,106588
1640,18518,1657,107194
1645,18629,1663,107799
1650,18741,1669,108384
1655,18852,1674,108984
1660,18964,1677,109573
1665,19075,1684,110165
1670,19188,1690,110764
1675,19298,1694,111352
1680,19411,1701,111963
1685,19524,1703,112581
1690,19637,1707,113205
1695,19749,1712,113812
1700,19861,1717,114400
1705,19975,1723,115008
1710,20088,1728,115625
1715,20201,1736,116242
1720,20315,1738,116863
1725,20428,1743,117476
1730,20544,1748,118122
1735,20660,1752,118778
1740,20775,1760,119418
1745,20891,1762,120022
1750,21008,1768,120620
1755,21124,1774,121253
1760,21243,1778,121889
1765,21360,1784,122545
1770,21479,1790,123190
1775,21598,1797,123821
1780,21718,1798,124467
1785,21833,1804,125085
1790,21955,1809,125759
1795,22073,1816,126414
1800,22194,1819,127053
1805,22315,1822,127692
1810,22433,1829,128315
1815,22554,1836,128955
1820,22676,1840,129599
1825,22794,1842,130232
1830,22915,1847,130894
1835,23035,1855,131553
1840,23157,1858,132201
1845,23276,1865,132850
1850,23399,1870,133512
1855,23520,1872,134185
1860,23644,1878,134842
1865,23765,1884,135530
1870,23890,1889,136219
1875,24016,1893,136891
1880,24145,1899,137557
1885,24270,1905,138204
1890,24394,1908,138885
1895,24520,1913,139537
1900,24645,1920,140208
1905,24768,1923,140882
1910,24894,1929,141556
1915,25022,1933,142214
1920,25148,1939,142911
1925,25276,1943,143571
1930,25402,1950,144295
1935,25530,1956,144950
1940,25660,1960,145639
1945,25790,1965,146312
1950,25923,1970,146993
1955,26052,1976,147698
1960,26183,1982,148411
1965,26314,1986,149118
1970,26446,1988,149808
1975,26577,1993,150511
1980,26708,2001,151191
1985,26841,2004,151889
1990,26972,2011,152592
1995,27105,2015,153262
2000,27240,2020,153987

